,0,0
0,0.0,1.4244
1,0.0,1.4297
2,0.0,1.4674
3,0.0,1.4985
4,1.0,1.5211
5,1.0,1.5085
6,0.0,1.5071
7,0.0,1.4861
8,1.0,1.4698
9,0.0,1.4264
10,1.0,1.4238
11,1.0,1.4393
12,1.0,1.5054
13,1.0,1.528
14,0.0,1.5923
15,1.0,1.6313
16,1.0,1.6666
17,1.0,1.6288
18,1.0,1.609
19,1.0,1.5996
20,0.0,1.6446
21,0.0,1.662
22,1.0,1.7754
23,0.0,1.8288
24,0.0,1.8009
25,0.0,1.7582
26,0.0,1.8330000000000002
27,0.0,1.8782
28,1.0,1.8695
29,0.0,1.7768
30,0.0,1.7051
31,0.0,1.6965
32,1.0,1.6840000000000002
33,0.0,1.7388
34,0.0,1.8085
35,1.0,1.8258
36,1.0,1.7737
37,1.0,1.7534
38,0.0,1.7134
39,1.0,1.7008
40,1.0,1.6307
41,0.0,1.5530000000000002
42,0.0,1.6268
43,0.0,1.5947
44,0.0,1.5715
45,1.0,1.5874
46,1.0,1.5726
47,0.0,1.5965
48,1.0,1.6512
49,1.0,1.6961
50,0.0,1.6245
51,0.0,1.6372
52,0.0,1.6774
53,0.0,1.7103
54,0.0,1.8098
55,1.0,1.9013
56,1.0,1.8794
57,1.0,1.9456
58,1.0,1.9642
59,0.0,1.9219
60,0.0,1.9346
61,0.0,1.9641
62,0.0,1.8214
63,0.0,1.7497
64,1.0,1.7238
65,1.0,1.6497
66,0.0,1.6513
67,1.0,1.6841
68,1.0,1.7265
69,1.0,1.7231
70,1.0,1.7796
71,0.0,1.8272
72,0.0,1.8090000000000002
73,0.0,1.7778
74,1.0,1.7238
75,0.0,1.7566
76,1.0,1.8095
77,1.0,1.8551
78,1.0,1.9177
79,0.0,1.9434
80,0.0,1.8465
81,1.0,1.6529
82,0.0,1.5268
83,0.0,1.551
84,0.0,1.5325
85,0.0,1.4395
86,1.0,1.4617
87,1.0,1.5447
88,0.0,1.5477
89,0.0,1.5082
90,0.0,1.4955
91,0.0,1.4914
92,1.0,1.5248
93,0.0,1.5023
94,1.0,1.4808
95,0.0,1.4913
96,0.0,1.4923
97,1.0,1.4792
98,0.0,1.4919
99,0.0,1.4823
100,1.0,1.5042
101,1.0,1.5262
102,1.0,1.5467
103,1.0,1.5422
104,0.0,1.5661
105,0.0,1.6064
106,1.0,1.5892
107,1.0,1.5587
108,0.0,1.5746
109,1.0,1.5719999999999998
110,1.0,1.6002
111,0.0,1.6073
112,1.0,1.5874
113,0.0,1.5948
114,0.0,1.5952
115,0.0,1.5668
116,1.0,1.5590000000000002
117,1.0,1.5779
118,0.0,1.5625
119,1.0,1.5405
120,1.0,1.5288
121,0.0,1.536
122,1.0,1.5271
123,1.0,1.516
124,1.0,1.5152
125,0.0,1.5416
126,0.0,1.5530000000000002
127,1.0,1.5499
128,1.0,1.5593
129,1.0,1.5863
130,1.0,1.6623
131,0.0,1.6639
132,1.0,1.6585
133,0.0,1.6256
134,0.0,1.6096
135,0.0,1.6293
136,0.0,1.6322
137,1.0,1.6449
138,0.0,1.6694
139,1.0,1.6035
140,1.0,1.6013
141,0.0,1.633
142,1.0,1.6889
143,0.0,1.6597
144,0.0,1.635
145,0.0,1.6408
146,0.0,1.6619
147,0.0,1.6723
148,1.0,1.6382
149,0.0,1.6504
150,0.0,1.6437
151,1.0,1.6342
152,0.0,1.6823
153,1.0,1.6944
154,0.0,1.6611
155,0.0,1.6708
156,0.0,1.6498
157,1.0,1.6276
158,0.0,1.6213
159,1.0,1.6089
160,1.0,1.6154
161,1.0,1.595
162,1.0,1.5751
163,1.0,1.6058
164,1.0,1.6247
165,1.0,1.6572
166,0.0,1.6205
167,1.0,1.6132
168,1.0,1.6404
169,1.0,1.6
170,1.0,1.5799
171,1.0,1.5823
172,0.0,1.509
173,1.0,1.5092
174,1.0,1.5076
175,0.0,1.4889
176,1.0,1.4336
177,1.0,1.4506
178,0.0,1.4258
179,1.0,1.4629
180,0.0,1.4775
181,1.0,1.4525
182,1.0,1.4445
183,0.0,1.4348
184,1.0,1.4265
185,1.0,1.402
186,0.0,1.4148
187,0.0,1.4372
188,1.0,1.4638
189,0.0,1.4501
190,0.0,1.4356
191,0.0,1.4413
192,0.0,1.4322
193,1.0,1.4227
194,1.0,1.423
195,1.0,1.4429
196,1.0,1.4598
197,1.0,1.4837
198,0.0,1.5565
199,1.0,1.5368
200,1.0,1.5563
201,1.0,1.5575
202,0.0,1.5711
203,0.0,1.5863
204,1.0,1.6175
205,1.0,1.6079
206,1.0,1.5825
207,0.0,1.5739
208,0.0,1.6224
209,0.0,1.6609
210,1.0,1.6221
211,1.0,1.5939
212,1.0,1.6155
213,0.0,1.6792
214,1.0,1.6897
215,1.0,1.7516
216,1.0,1.8255
217,1.0,1.8673
218,1.0,1.8261
219,1.0,1.8031
220,1.0,1.786
221,1.0,1.8279
222,0.0,1.8438
223,1.0,1.8203
224,1.0,1.7937
225,1.0,1.8077
226,1.0,1.8607
227,0.0,1.9286
228,0.0,1.8797
229,1.0,1.8871
230,1.0,1.9043
231,1.0,1.8961
232,0.0,1.8559
233,0.0,1.8177
234,1.0,1.7507
235,1.0,1.7944
236,1.0,1.8064
237,1.0,1.7651
238,0.0,1.7349
239,0.0,1.7458
240,1.0,1.7686
241,1.0,1.748
242,0.0,1.7442
243,1.0,1.768
244,1.0,1.8687
245,1.0,1.8435
246,1.0,1.8443
247,1.0,1.8941
248,0.0,1.8839
249,0.0,1.8765
250,0.0,1.9125
251,1.0,1.9629
252,1.0,1.9587
253,0.0,1.9589
254,1.0,1.9474
255,1.0,1.9879
256,1.0,1.9842
257,0.0,1.9867
258,1.0,2.0355
259,1.0,2.011
260,0.0,2.0184
261,1.0,2.0449
262,1.0,2.0701
263,1.0,2.0161
264,0.0,1.9702
265,1.0,1.9646
266,1.0,2.0015
267,1.0,1.9816
268,1.0,1.965
269,1.0,1.9664
270,1.0,1.9888
271,0.0,1.8865
272,0.0,1.7973
273,0.0,1.6862
274,0.0,1.5327
275,0.0,1.4854
276,0.0,1.4462
277,1.0,1.4422
278,0.0,1.417
279,1.0,1.4712
280,1.0,1.5418
281,1.0,1.6369
282,1.0,1.6378
283,0.0,1.6532
284,1.0,1.6323
285,0.0,1.6212
286,1.0,1.6599
287,1.0,1.6226
288,0.0,1.6158
289,1.0,1.5618
290,0.0,1.5058
291,1.0,1.5332
292,1.0,1.4669
293,0.0,1.4768
294,1.0,1.5304
295,1.0,1.5661
296,1.0,1.5591
297,0.0,1.5867
298,1.0,1.5961
299,1.0,1.5595
300,1.0,1.5782
301,1.0,1.6124
302,0.0,1.6159
303,1.0,1.6379
304,1.0,1.6332
305,0.0,1.6219
306,0.0,1.6158
307,1.0,1.6356
308,0.0,1.5771
309,0.0,1.5768
310,1.0,1.5806
311,1.0,1.5587
312,1.0,1.5524
313,1.0,1.5804
314,1.0,1.5824
315,1.0,1.6
316,0.0,1.5924
317,0.0,1.5556
318,0.0,1.5593
319,1.0,1.5722
320,1.0,1.6126
321,1.0,1.608
322,0.0,1.5968
323,0.0,1.6145
324,1.0,1.5965
325,1.0,1.5474
326,1.0,1.508
327,0.0,1.5311
328,0.0,1.5297
329,1.0,1.5493
330,1.0,1.5179
331,1.0,1.5505
332,1.0,1.5885
333,0.0,1.6098
334,0.0,1.61
335,0.0,1.6383
336,1.0,1.647
337,0.0,1.6558
338,1.0,1.6624
339,0.0,1.6748
340,1.0,1.6842
341,1.0,1.6908
342,1.0,1.7066
343,0.0,1.67
344,0.0,1.629
345,0.0,1.6074
346,0.0,1.5771
347,0.0,1.5644
348,0.0,1.5142
349,0.0,1.5329
350,1.0,1.4958
351,0.0,1.4968
352,1.0,1.5456
353,1.0,1.5576
354,1.0,1.556
355,0.0,1.5578
356,0.0,1.5338
357,1.0,1.5343
358,1.0,1.5194
359,0.0,1.4981
360,0.0,1.4392
361,0.0,1.429
362,0.0,1.4249
363,1.0,1.4319
364,1.0,1.4524
365,1.0,1.4197
366,1.0,1.3134
367,0.0,1.3101
368,1.0,1.314
369,1.0,1.233
370,1.0,1.2432
371,0.0,1.2483
372,1.0,1.2367
373,1.0,1.2495
374,1.0,1.2347
375,0.0,1.2639
376,1.0,1.2929
377,0.0,1.281
378,0.0,1.2996
379,1.0,1.2952
380,1.0,1.334
381,1.0,1.3202
382,1.0,1.3217
383,1.0,1.3404
384,1.0,1.3824
385,1.0,1.3961
386,0.0,1.3976
387,1.0,1.4079
388,1.0,1.347
389,1.0,1.3294
390,0.0,1.3162
391,1.0,1.2878
392,0.0,1.3066
393,1.0,1.3012
394,1.0,1.29
395,0.0,1.2664
396,0.0,1.2901
397,1.0,1.3016
398,1.0,1.3167
399,1.0,1.3029
400,1.0,1.2855
401,0.0,1.2675
402,0.0,1.2461
403,1.0,1.216
404,0.0,1.2369
405,1.0,1.2657
406,0.0,1.2884
407,1.0,1.3109
408,1.0,1.3076
409,0.0,1.2953
410,0.0,1.2369
411,0.0,1.242
412,0.0,1.2302
413,1.0,1.2523
414,1.0,1.2701
415,1.0,1.3143
